name,socket,form_factor
Gigabyte B450 AORUS PRO,AM4,ATX
Asus TUF GAMING B550-PLUS (WI-FI),AM4,ATX
Gigabyte B760 DS3H AX,LGA1700,ATX
MSI MAG Z590 TOMAHAWK WIFI,LGA1200,ATX
ASRock H570 Steel Legend,LGA1200,ATX
ASRock X570 Taichi Razer Edition,AM4,ATX
Gigabyte Z390 GAMING X,LGA1151,ATX
MSI B350 PC MATE,AM4,ATX
ASRock Z390 Pro4,LGA1151,ATX
ASRock X570S PG Riptide,AM4,ATX
Asus PRIME Z270-P,LGA1151,ATX
ASRock Z790 LiveMixer,LGA1700,ATX
Gigabyte X570 AORUS PRO WIFI,AM4,ATX
Asus MAXIMUS Z690 HERO EVA,LGA1700,ATX
Asus Prime Z370-P,LGA1151,ATX
MSI B350 TOMAHAWK ARCTIC,AM4,ATX
ASRock Z690 Taichi,LGA1700,ATX
Gigabyte Z590 AORUS MASTER,LGA1200,ATX
Asus PRIME Z490-A,LGA1200,ATX
Gigabyte Z590 AORUS ELITE AX,LGA1200,ATX
Asus ROG STRIX B560-A GAMING WIFI,LGA1200,ATX
MSI 970 GAMING,AM3+,ATX
ASRock B550 Taichi Razer Edition,AM4,ATX
Gigabyte Z590 AORUS PRO AX,LGA1200,ATX
Asus ROG MAXIMUS XII HERO (WI-FI),LGA1200,ATX
Asus TUF GAMING Z490-PLUS (WI-FI),LGA1200,ATX
ASRock X370 Pro4,AM4,ATX
Asus TUF GAMING H770-PRO WIFI,LGA1700,ATX
Asus ProArt X570-CREATOR WIFI,AM4,ATX
ASRock Z390 Phantom Gaming 4,LGA1151,ATX
Asus PRIME X370-PRO,AM4,ATX
MSI B450 Gaming Plus,AM4,ATX
Gigabyte Z370P D3,LGA1151,ATX
ASRock B365 Phantom Gaming 4,LGA1151,ATX
MSI MPG Z590 GAMING FORCE,LGA1200,ATX
Asus ProArt Z690-CREATOR WIFI,LGA1700,ATX
ASRock AB350 Pro4,AM4,ATX
MSI Z790 GAMING PRO WIFI,LGA1700,ATX
Gigabyte Z690 AORUS XTREME,LGA1700,EATX
Asus M5A97 R2.0,AM3+,ATX
Gigabyte X570 AORUS ULTRA,AM4,ATX
Gigabyte B660 GAMING X DDR4,LGA1700,ATX
ASRock Z590 Steel Legend WiFi 6E,LGA1200,ATX
Gigabyte Z390 AORUS ELITE,LGA1151,ATX
Gigabyte Z390 AORUS ULTRA,LGA1151,ATX
Gigabyte B560 DS3H AC,LGA1200,ATX
ASRock X370 Taichi,AM4,ATX
Asus PRIME B550-PLUS AC-HES,AM4,ATX
Asus MAXIMUS VII HERO,LGA1150,ATX
Asus X99-WS/IPMI,LGA2011-3,ATX
Gigabyte Z390 AORUS MASTER,LGA1151,ATX
ASRock H670 Steel Legend,LGA1700,ATX
Gigabyte B560 AORUS PRO AX,LGA1200,ATX
MSI MEG Z690 UNIFY-X,LGA1700,ATX
Asus TUF GAMING X570-PRO WIFI II,AM4,ATX
Asus WS C246 PRO,LGA1151,ATX
MSI PRO B760-VC WIFI,LGA1700,ATX
Asus CROSSHAIR VI HERO,AM4,ATX
MSI MPG Z590 GAMING CARBON WIFI,LGA1200,ATX
Asus P8Z77-V PRO,LGA1155,ATX
Asus MAXIMUS IX HERO,LGA1151,ATX
Gigabyte X570 AORUS XTREME,AM4,EATX
MSI Z270 SLI PLUS,LGA1151,ATX
Asus ROG STRIX B660-A GAMING WIFI,LGA1700,ATX
MSI X370 GAMING PRO CARBON,AM4,ATX
Gigabyte X570 UD,AM4,ATX
Gigabyte B660 AORUS Master DDR4,LGA1700,ATX
Asus ROG MAXIMUS X HERO (WI-FI AC),LGA1151,ATX
ASRock Z370 Extreme4,LGA1151,ATX
MSI MEG X570 ACE,AM4,ATX
Gigabyte GA-Z170X-UD5,LGA1151,ATX
MSI MEG Z390 GODLIKE,LGA1151,EATX
MSI X99A SLI PLUS,LGA2011-3,ATX
Asus Sabertooth 990FX R2.0,AM3+,ATX
Gigabyte Z690 GAMING X,LGA1700,ATX
MSI Z97 PC MATE,LGA1150,ATX
Asus STRIX Z270F,LGA1151,ATX
ASRock Z370 Pro4,LGA1151,ATX
Gigabyte Z590 UD,LGA1200,ATX
Asus Sabertooth X79,LGA2011,ATX
Asus TUF GAMING B560-PLUS WIFI,LGA1200,ATX
ASRock Z390 Phantom Gaming 4S,LGA1151,ATX
MSI Z97S SLI Krait Edition,LGA1150,ATX
Asus ROG STRIX Z370-F GAMING,LGA1151,ATX
Asus ROG MAXIMUS XI FORMULA,LGA1151,ATX
MSI MAG B560 TORPEDO,LGA1200,ATX
Gigabyte GA-Z97X-SLI,LGA1150,ATX
Gigabyte Z390 AORUS PRO,LGA1151,ATX
Asus ROG Crosshair VII Hero,AM4,ATX
Asus ROG STRIX Z590-F GAMING WIFI,LGA1200,ATX
Gigabyte Z490 VISION G,LGA1200,ATX
Gigabyte B550 AORUS PRO,AM4,ATX
ASRock X370 KILLER SLI/ac,AM4,ATX
MSI B360 GAMING PLUS,LGA1151,ATX
MSI X470 GAMING PRO CARBON,AM4,ATX
Gigabyte Z370 AORUS Gaming 7 (rev. 1.0),LGA1151,ATX
MSI MEG B550 UNIFY,AM4,ATX
MSI B450-A PRO,AM4,ATX
ASRock B560 Steel Legend,LGA1200,ATX
MSI MAG B660 TOMAHAWK WIFI,LGA1700,ATX
MSI MPG Z390 GAMING PRO CARBON AC,LGA1151,ATX
MSI MEG X570 GODLIKE,AM4,EATX
Gigabyte X299 UD4 Pro,LGA2066,ATX
Gigabyte GA-Z170X-Gaming 7,LGA1151,ATX
Asus PRIME H310-PLUS,LGA1151,ATX
Asus STRIX X370-F GAMING,AM4,ATX
Gigabyte B450 Gaming X,AM4,ATX
MSI MPG Z590 GAMING EDGE WIFI,LGA1200,ATX
MSI Z87-G45 Gaming,LGA1150,ATX
